SMILES,PCE,NumHAcceptors,NumHDonors,alkyl_num,frag_sym,HOMO_calc,LUMO_calc,dipole,MPI,surface_min,surface_max,TPSA,MolLogP,PSA,control_PCE,anchor_end_BA,anchor_end_CA,anchor_end_NO,anchor_end_PA,anchor_end_PO,anchor_end_SA,anchor_end_SH,anchor_end_SiO,MetalOxide_ITO,MetalOxide_NiOx,MetalOxide_SnO2,MetalOxide_TiO2,MetalOxide_ZnO
O=P(O)(O)CCn1c2ccccc2c2ccccc21,22.4,2,2,2,1,-5.665071,-1.022318,1.975439,11.42494,-38.62844,53.933991,62.46,2.9722,138.99,19.9,0,0,0,1,0,0,0,0,0,1,0,0,0
COc1ccc2c(c1)c1cc(OC)ccc1n2CCP(=O)(O)O,21,4,2,2,1,-5.146211,-1.00755,1.467697,12.116,-39.79595,52.67427,80.92,2.9894,200.02,19.9,0,0,0,1,0,0,0,0,0,1,0,0,0
COc1ccc2c(ccc3c2c2c4ccc(OC)cc4ccc2n3CCCCP(=O)(O)O)c1,25.6,4,2,4,1,-5.182687,-1.386859,2.954174,12.05384,-40.46879,51.108,80.92,6.076,287.91,20.1,0,0,0,1,0,0,0,0,0,1,0,0,0
O=S(=O)(O)c1ccccn1,16.54,3,1,0,0,-8.070575,-1.975575,6.131034,17.92665,-35.95829,45.14769,67.26,0.3283,122.3,14.65,0,0,0,0,0,1,0,0,0,0,0,1,0
O=S(=O)(O)c1cccnc1,16.88,3,1,0,0,-7.65558,-1.919355,3.424702,15.53109,-31.7079,57.5973,67.26,0.3283,107.98,14.65,0,0,0,0,0,1,0,0,0,0,0,1,0
O=C(O)c1ccccc1,18.11,1,1,0,1,-7.29672,-1.506979,1.839161,10.41554,-34.27143,47.16117,37.3,1.3848,59.22,17.19,0,1,0,0,0,0,0,0,0,0,1,0,0
O=C(O)c1ccncc1,18.77,2,1,0,1,-7.261424,-2.045861,1.894267,11.03408,-34.44694,52.84255,50.19,0.7798,66.37,17.19,0,1,0,0,0,0,0,0,0,0,1,0,0
N#Cc1ccc(C(=O)O)cc1,18.27,2,1,0,1,-7.76638,-2.49541,3.582808,13.54822,-36.46608,54.5764,61.09,1.25648,99.78,17.19,0,1,0,0,0,0,0,0,0,0,1,0,0
Nc1ccc(C(=O)O)cc1,16.5,2,2,0,1,-5.891418,-0.902184,4.129124,14.50899,-39.65044,41.1939,63.32,0.967,97.09,17.19,0,1,0,0,0,0,0,0,0,0,1,0,0
NCCC(=O)O,17.11,2,2,2,1,-6.512111,0.220541,1.436695,13.71383,-34.7477,46.16131,63.32,-0.5802,71.82,17.19,0,1,0,0,0,0,0,0,0,0,1,0,0
NCCC(=O)O,13.27,2,2,2,1,-6.512111,0.220541,1.436695,13.71383,-34.7477,46.16131,63.32,-0.5802,71.82,10.76,0,1,0,0,0,0,0,0,0,0,0,1,0
O=C(O)c1ccccc1,16.2,1,1,0,1,-7.29672,-1.506979,1.839161,10.41554,-34.27143,47.16117,37.3,1.3848,59.22,15.5,0,1,0,0,0,0,0,0,0,1,0,0,0
Nc1ccc(C(=O)O)cc1,12.8,2,2,0,1,-5.891418,-0.902184,4.129124,14.50899,-39.65044,41.1939,63.32,0.967,97.09,15.5,0,1,0,0,0,0,0,0,0,1,0,0,0
COc1ccc(C(=O)O)cc1,13.8,2,1,0,1,-6.457486,-1.169664,2.38218,11.67811,-36.5637,44.2885,46.53,1.3934,88.35,15.5,0,1,0,0,0,0,0,0,0,1,0,0,0
O=C(O)c1ccc(Cl)cc1,17.6,1,1,0,1,-7.126442,-1.721957,1.392593,8.94094,-32.05022,49.53526,37.3,2.0382,53.12,15.5,0,1,0,0,0,0,0,0,0,1,0,0,0
O=C(O)c1ccc(Br)cc1,18.4,1,1,0,1,-7.051705,-0.065122,1.399569,8.9432,-31.76457,49.85897,37.3,2.1473,54.43,15.5,0,1,0,0,0,0,0,0,0,1,0,0,0
OB(O)c1ccc(F)cc1,14.04,2,2,0,1,-6.661835,-0.662957,3.982903,12.52191,-20.77447,59.26754,40.46,-0.4945,78.44,12.49,1,0,0,0,0,0,0,0,1,0,0,0,0
OB(O)c1cc(F)cc(F)c1,15.66,2,2,0,1,-6.72655,-1.088617,4.265369,12.42975,-18.26319,62.06059,40.46,-0.3554,74.04,12.49,1,0,0,0,0,0,0,0,1,0,0,0,0
OB(O)c1cc(F)c(F)c(F)c1,13.23,2,2,0,1,-6.974557,-1.10511,5.506195,12.0761,-18.1296,63.41374,40.46,-0.2163,78.78,12.49,1,0,0,0,0,0,0,0,1,0,0,0,0
O=P(O)(O)CCCCCCI,11.04,1,2,6,1,-6.837897,-0.939914,2.083859,12.77546,-41.72126,50.08804,57.53,2.1595,156.56,11.74,0,0,0,1,0,0,0,0,0,0,0,1,0
CCCCP(=O)(O)O,11.65,1,2,4,1,-7.745075,0.876884,1.173248,11.96575,-43.60236,48.52907,57.53,0.9642,64.68,11.74,0,0,0,1,0,0,0,0,0,0,0,1,0
O=P(O)(O)CCCCI,13.83,1,2,4,1,-6.895599,-1.012052,2.063907,13.5782,-40.58477,51.23408,57.53,1.3793,134.4,11.74,0,0,0,1,0,0,0,0,0,0,0,1,0
NCCCP(=O)(O)O,13.85,2,3,3,1,-6.468058,0.813637,1.291902,15.35663,-42.33522,49.33952,83.55,-0.4871,104.75,11.74,0,0,0,1,0,0,0,0,0,0,0,1,0
O=P(O)(O)CI,15.21,1,2,1,1,-7.087901,-1.513624,0.835144,15.89139,-39.09684,55.30263,57.53,0.5566,92.19,11.74,0,0,0,1,0,0,0,0,0,0,0,1,0
O=P(O)(O)CCCC(F)(F)F,16.09,1,2,3,1,-8.000275,0.665047,2.731028,14.79612,-40.54859,52.55848,57.53,1.5066,119.73,11.74,0,0,0,1,0,0,0,0,0,0,0,1,0
COc1cc(/C=C/C(=O)OC(CC(=O)O)C(=O)O)cc(OC)c1O,20.5,7,3,0,0,-5.993646,-2.046762,7.358126,13.7118,-44.57619,58.46744,139.59,0.8937,192.57,19,0,1,0,0,0,0,0,0,0,0,0,1,0
N#C/C(=C\c1ccc(-c2cccs2)s1)C(=O)O,17.07,4,1,0,0,-6.08631,-2.940758,6.425965,12.56562,-41.08524,50.22557,61.09,3.46818,129.42,15.41,0,1,0,0,0,0,0,0,0,0,0,0,1
CC1(C)CCN2CCC(C)(C)c3cc(-c4ccc(/C=C(\C#N)C(=O)O)s4)cc1c32,18.82,4,1,0,0,-5.165128,-2.457781,9.65889,12.46693,-46.84124,44.66733,64.33,5.57568,218.99,15.41,0,1,0,0,0,0,0,0,0,0,0,0,1
O=C(O)c1ccc(C(F)(F)F)cc1,18.67,1,1,0,1,-7.774331,-2.070342,2.058822,9.71932,-29.55815,52.22006,37.3,2.4036,70.08,16.84,0,1,0,0,0,0,0,0,0,0,1,0,0
Cc1ccc(C(=O)O)cc1,17.68,1,1,0,1,-7.010005,-1.389359,2.273694,10.39089,-35.57709,45.80891,37.3,1.69322,66.01,16.84,0,1,0,0,0,0,0,0,0,0,1,0,0
O=C(O)c1cnccc1C(F)(F)F,17.75,2,1,0,0,-7.602411,-2.341027,1.684603,12.47606,-34.11404,53.50903,50.19,1.7986,90.51,16.84,0,1,0,0,0,0,0,0,0,0,1,0,0
O=S(=O)(O)c1ccc(Cl)cc1,21.8,2,1,0,1,-7.509188,-1.751571,3.501507,12.90576,-33.29385,56.77247,54.37,1.5867,97.15,19.5,0,0,0,0,0,1,0,0,0,1,0,0,0
COc1ccc(B(O)O)cc1,11.34,3,2,0,1,-5.932056,-0.324986,2.124124,13.44304,-25.81763,55.65144,49.69,-0.625,114.94,7.48,1,0,0,0,0,0,0,0,0,0,0,1,0
COc1cc(OC)cc(B(O)O)c1,10.85,4,2,0,1,-5.717955,-0.564096,4.1738,13.34195,-29.13419,58.12707,58.92,-0.6164,115.7,7.48,1,0,0,0,0,0,0,0,0,0,0,1,0
COc1cc(B(O)O)cc(OC)c1OC,10.43,5,2,0,1,-5.705587,-0.479694,4.272744,13.01917,-43.60748,57.57183,68.15,-0.6078,117.08,7.48,1,0,0,0,0,0,0,0,0,0,0,1,0
NCC(=O)O,13.14,2,2,1,1,-6.796841,0.119092,1.238987,14.73779,-35.22801,48.8338,63.32,-0.9703,70.92,10.76,0,1,0,0,0,0,0,0,0,0,0,1,0
C[C@H](N)C(=O)O,14.22,2,2,1,0,-6.607128,0.023966,1.482429,12.58423,-33.34708,48.18131,63.32,-0.5818,62.64,10.76,0,1,0,0,0,0,0,0,0,0,0,1,0
NCCCCC(=O)O,11.72,2,2,4,1,-6.349085,0.182776,2.53006,12.58813,-38.95835,46.91943,63.32,0.2,90.71,10.76,0,1,0,0,0,0,0,0,0,0,0,1,0
O=C(O)c1ccsc1,21.2,2,1,0,0,-6.984313,-1.356977,1.606405,10.63053,-34.41696,47.3162,37.3,1.4463,57.12,19.8,0,1,0,0,0,0,0,0,0,0,0,1,0
O=P(O)(O)CCCCN1c2ccc(Br)cc2Oc2cc(Br)ccc21,23.66,3,2,4,1,-5.22948,-0.995949,3.893534,11.29404,-38.76406,52.89562,70,5.4133,179.51,20.55,0,0,0,1,0,0,0,0,0,1,0,0,0
O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O,21.6,6,4,1,0,-5.734971,0.018503,2.0976,14.60848,-37.38109,49.23754,155.68,-2.0712,176.57,18.93,0,1,0,0,0,0,0,0,0,0,1,0,0
O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O,20.39,6,4,1,0,-5.734971,0.018503,2.0976,14.60848,-37.38109,49.23754,155.68,-2.0712,176.57,18.79,0,1,0,0,0,0,0,0,0,0,0,0,1
O=P(c1ccccc1)(c1ccccc1)c1ccccc1,20.69,1,0,0,1,-7.004754,-1.037784,3.8603,9.74821,-49.89667,16.66782,17.07,3.326,124.65,19.01,0,0,0,0,1,0,0,0,0,0,1,0,0
CCO[Si](CCCN)(OCC)OCC,17.03,4,1,3,1,-6.235686,1.247911,1.665693,6.86841,-40.22922,21.77645,53.71,1.3836,56.75,14.69,0,0,0,0,0,0,0,1,0,0,1,0,0
NCCc1ccc(O)c(O)c1,16.65,3,3,2,0,-5.629067,-0.019791,3.517359,11.8846,-37.50858,55.69695,66.48,0.599,95.16,14.05,0,0,1,0,0,0,0,0,0,0,1,0,0
OCCNCCO,15.9,3,3,2,1,-5.737593,1.3017,1.457171,11.08371,-33.86006,41.08512,52.49,-1.4394,58.86,11.47,0,0,1,0,0,0,0,0,0,1,0,0,0
O=S(=O)([O-])CCC[n+]1ccccc1,21.43,3,0,3,1,-5.666587,-2.41466,10.280853,26.36403,-61.81134,39.01268,61.08,-0.0906,175.13,19.63,0,0,0,0,0,1,0,0,0,0,1,0,0
NCCO,16.3,2,2,2,1,-6.191948,1.306303,0.839986,11.61192,-39.77794,41.94646,46.25,-1.0626,43.84,12.8,0,0,1,0,0,0,0,0,0,0,0,1,0
NS(=O)(=O)c1cc(C(=O)O)ccc1Cl,25.32,3,2,0,0,-7.397986,-2.103406,3.544742,14.6946,-35.78387,53.45589,97.46,0.6856,119.62,23.75,0,1,0,0,0,0,0,0,0,0,0,1,0
N#C/C(=C\c1ccc(O)cc1)C(=O)O,23.02,3,2,0,0,-6.703703,-2.728762,6.343675,14.8121,-39.78824,64.8047,81.32,1.38378,119.03,21.26,0,1,0,0,0,0,0,0,0,0,1,0,0
Nc1n[nH]cc1C(=O)O,24.71,3,3,0,0,-5.72734,-0.667458,2.448948,15.89321,-34.74231,47.28162,92,-0.3099,92.52,22.89,0,1,0,0,0,0,0,0,0,0,1,0,0
N#C/C(=C\c1ccc(-c2ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)c3nsnc23)cc1)C(=O)O,23.48,6,1,0,0,-5.321591,-3.025292,5.476426,8.73501,-39.13829,49.72597,90.11,8.48668,185.2,22.16,0,1,0,0,0,0,0,0,0,1,0,0,0
OB(O)c1ccc(I)cc1,22.91,2,2,0,0,-6.382406,-0.998106,4.311716,11.67398,-19.52881,60.52804,40.46,-0.029,91.12,20.04,1,0,0,0,0,0,0,0,0,1,0,0,0
OB(O)c1ccccc1I,21.81,2,2,0,0,-6.762661,-1.231503,0.926012,8.47821,-23.39947,40.7957,40.46,-0.029,58.66,20.04,1,0,0,0,0,0,0,0,0,1,0,0,0
O=S(=O)(O)c1ccccc1I,21.37,2,1,0,0,-7.23404,-1.755012,4.808819,13.68364,-33.91239,42.70294,54.37,1.5379,111.84,20.04,0,0,0,0,0,1,0,0,0,1,0,0,0
O=C(O)c1ccccc1I,20.77,1,1,0,0,-7.217721,-1.796392,4.653361,12.31253,-41.30111,30.32329,37.3,1.9894,91.45,20.04,0,1,0,0,0,0,0,0,0,1,0,0,0
CCOC1=C(O)C(=O)O[C@@H]1[C@@H](O)CO,23.43,6,3,0,0,-6.113971,-0.702201,5.742655,17.18175,-41.38529,50.40166,96.22,-0.9289,164.11,20.95,0,0,1,0,0,0,0,0,0,0,1,0,0
O=C(O)C(=O)O,22.91,2,2,0,1,-8.186258,-2.35938,0,16.77886,-25.96207,48.71585,74.6,-0.8444,71.04,21.2,0,1,0,0,0,0,0,0,0,0,1,0,0
O=C(O)CC(=O)O,22.41,2,2,1,1,-7.847118,-0.200495,2.338908,17.30172,-33.47507,52.31433,74.6,-0.4543,91.04,21.2,0,1,0,0,0,0,0,0,0,0,1,0,0
O=C(O)CCC(=O)O,21.81,2,2,2,1,-7.720123,-0.084857,0.7051,14.5784,-31.33403,48.92321,74.6,-0.0642,91.42,21.2,0,1,0,0,0,0,0,0,0,0,1,0,0
N=C(N)NCC(=O)O,24.7,2,4,2,0,-5.983251,-0.15977,4.217769,17.7853,-49.21478,52.88897,99.2,-1.44593,104.93,22.6,0,1,0,0,0,0,0,0,0,0,1,0,0
N[C@@H](Cc1c[nH]cn1)C(=O)O,21.04,3,3,0,0,-6.523852,0.097106,8.087402,17.67823,-49.39487,56.17143,92,-0.6359,109.98,20.05,0,1,0,0,0,0,0,0,0,0,1,0,0
