control_PCE,anchor_end_BA,anchor_end_CA,anchor_end_NO,anchor_end_PA,anchor_end_PO,anchor_end_SA,anchor_end_SH,anchor_end_SiO,MetalOxide_ITO,MetalOxide_NiOx,MetalOxide_SnO2,MetalOxide_TiO2,MetalOxide_ZnO,PCE
19.9,0,0,0,1,0,0,0,0,0,1,0,0,0,22.4
19.9,0,0,0,1,0,0,0,0,0,1,0,0,0,21.0
20.1,0,0,0,1,0,0,0,0,0,1,0,0,0,25.6
14.65,0,0,0,0,0,1,0,0,0,0,0,1,0,16.54
14.65,0,0,0,0,0,1,0,0,0,0,0,1,0,16.88
17.19,0,1,0,0,0,0,0,0,0,0,1,0,0,18.11
17.19,0,1,0,0,0,0,0,0,0,0,1,0,0,18.77
17.19,0,1,0,0,0,0,0,0,0,0,1,0,0,18.27
17.19,0,1,0,0,0,0,0,0,0,0,1,0,0,16.5
17.19,0,1,0,0,0,0,0,0,0,0,1,0,0,17.11
10.76,0,1,0,0,0,0,0,0,0,0,0,1,0,13.27
15.5,0,1,0,0,0,0,0,0,0,1,0,0,0,16.2
15.5,0,1,0,0,0,0,0,0,0,1,0,0,0,12.8
15.5,0,1,0,0,0,0,0,0,0,1,0,0,0,13.8
15.5,0,1,0,0,0,0,0,0,0,1,0,0,0,17.6
15.5,0,1,0,0,0,0,0,0,0,1,0,0,0,18.4
12.49,1,0,0,0,0,0,0,0,1,0,0,0,0,14.04
12.49,1,0,0,0,0,0,0,0,1,0,0,0,0,15.66
12.49,1,0,0,0,0,0,0,0,1,0,0,0,0,13.23
11.74,0,0,0,1,0,0,0,0,0,0,0,1,0,11.04
11.74,0,0,0,1,0,0,0,0,0,0,0,1,0,11.65
11.74,0,0,0,1,0,0,0,0,0,0,0,1,0,13.83
11.74,0,0,0,1,0,0,0,0,0,0,0,1,0,13.85
11.74,0,0,0,1,0,0,0,0,0,0,0,1,0,15.21
11.74,0,0,0,1,0,0,0,0,0,0,0,1,0,16.09
19.0,0,1,0,0,0,0,0,0,0,0,0,1,0,20.5
15.41,0,1,0,0,0,0,0,0,0,0,0,0,1,17.07
15.41,0,1,0,0,0,0,0,0,0,0,0,0,1,18.82
16.84,0,1,0,0,0,0,0,0,0,0,1,0,0,18.67
16.84,0,1,0,0,0,0,0,0,0,0,1,0,0,17.68
16.84,0,1,0,0,0,0,0,0,0,0,1,0,0,17.75
19.5,0,0,0,0,0,1,0,0,0,1,0,0,0,21.8
7.48,1,0,0,0,0,0,0,0,0,0,0,1,0,11.34
7.48,1,0,0,0,0,0,0,0,0,0,0,1,0,10.85
7.48,1,0,0,0,0,0,0,0,0,0,0,1,0,10.43
10.76,0,1,0,0,0,0,0,0,0,0,0,1,0,13.14
10.76,0,1,0,0,0,0,0,0,0,0,0,1,0,14.22
10.76,0,1,0,0,0,0,0,0,0,0,0,1,0,11.72
19.8,0,1,0,0,0,0,0,0,0,0,0,1,0,21.2
20.55,0,0,0,1,0,0,0,0,0,1,0,0,0,23.66
18.93,0,1,0,0,0,0,0,0,0,0,1,0,0,21.6
18.79,0,1,0,0,0,0,0,0,0,0,0,0,1,20.39
19.01,0,0,0,0,1,0,0,0,0,0,1,0,0,20.69
14.69,0,0,0,0,0,0,0,1,0,0,1,0,0,17.03
14.05,0,0,1,0,0,0,0,0,0,0,1,0,0,16.65
