alkyl_num,frag_sym,HOMO_calc,LUMO_calc,dipole,MPI,surface_min,surface_max,PSA
2,1,-5.665071,-1.022318,1.975439,11.42494,-38.62844,53.933991,138.99
2,1,-5.146211,-1.00755,1.467697,12.116,-39.79595,52.67427,200.02
4,1,-5.182687,-1.386859,2.954174,12.05384,-40.46879,51.108,287.91
0,0,-8.070575,-1.975575,6.131034,17.92665,-35.95829,45.14769,122.3
0,0,-7.65558,-1.919355,3.424702,15.53109,-31.7079,57.5973,107.98
0,1,-7.29672,-1.506979,1.839161,10.41554,-34.27143,47.16117,59.22
0,1,-7.261424,-2.045861,1.894267,11.03408,-34.44694,52.84255,66.37
0,1,-7.76638,-2.49541,3.582808,13.54822,-36.46608,54.5764,99.78
0,1,-5.891418,-0.902184,4.129124,14.50899,-39.65044,41.1939,97.09
2,1,-6.512111,0.220541,1.436695,13.71383,-34.7477,46.16131,71.82
2,1,-6.512111,0.220541,1.436695,13.71383,-34.7477,46.16131,71.82
0,1,-7.29672,-1.506979,1.839161,10.41554,-34.27143,47.16117,59.22
0,1,-5.891418,-0.902184,4.129124,14.50899,-39.65044,41.1939,97.09
0,1,-6.457486,-1.169664,2.38218,11.67811,-36.5637,44.2885,88.35
0,1,-7.126442,-1.721957,1.392593,8.94094,-32.05022,49.53526,53.12
0,1,-7.051705,-0.065122,1.399569,8.9432,-31.76457,49.85897,54.43
0,1,-6.661835,-0.662957,3.982903,12.52191,-20.77447,59.26754,78.44
0,1,-6.72655,-1.088617,4.265369,12.42975,-18.26319,62.06059,74.04
0,1,-6.974557,-1.10511,5.506195,12.0761,-18.1296,63.41374,78.78
6,1,-6.837897,-0.939914,2.083859,12.77546,-41.72126,50.08804,156.56
4,1,-7.745075,0.876884,1.173248,11.96575,-43.60236,48.52907,64.68
4,1,-6.895599,-1.012052,2.063907,13.5782,-40.58477,51.23408,134.4
3,1,-6.468058,0.813637,1.291902,15.35663,-42.33522,49.33952,104.75
1,1,-7.087901,-1.513624,0.835144,15.89139,-39.09684,55.30263,92.19
3,1,-8.000275,0.665047,2.731028,14.79612,-40.54859,52.55848,119.73
0,0,-5.993646,-2.046762,7.358126,13.7118,-44.57619,58.46744,192.57
0,0,-6.08631,-2.940758,6.425965,12.56562,-41.08524,50.22557,129.42
0,0,-5.165128,-2.457781,9.65889,12.46693,-46.84124,44.66733,218.99
0,1,-7.774331,-2.070342,2.058822,9.71932,-29.55815,52.22006,70.08
0,1,-7.010005,-1.389359,2.273694,10.39089,-35.57709,45.80891,66.01
0,0,-7.602411,-2.341027,1.684603,12.47606,-34.11404,53.50903,90.51
0,1,-7.509188,-1.751571,3.501507,12.90576,-33.29385,56.77247,97.15
0,1,-5.932056,-0.324986,2.124124,13.44304,-25.81763,55.65144,114.94
0,1,-5.717955,-0.564096,4.1738,13.34195,-29.13419,58.12707,115.7
0,1,-5.705587,-0.479694,4.272744,13.01917,-43.60748,57.57183,117.08
1,1,-6.796841,0.119092,1.238987,14.73779,-35.22801,48.8338,70.92
1,0,-6.607128,0.023966,1.482429,12.58423,-33.34708,48.18131,62.64
4,1,-6.349085,0.182776,2.53006,12.58813,-38.95835,46.91943,90.71
0,0,-6.984313,-1.356977,1.606405,10.63053,-34.41696,47.3162,57.12
4,1,-5.22948,-0.995949,3.893534,11.29404,-38.76406,52.89562,179.51
1,0,-5.734971,0.018503,2.0976,14.60848,-37.38109,49.23754,176.57
1,0,-5.734971,0.018503,2.0976,14.60848,-37.38109,49.23754,176.57
0,1,-7.004754,-1.037784,3.8603,9.74821,-49.89667,16.66782,124.65
3,1,-6.235686,1.247911,1.665693,6.86841,-40.22922,21.77645,56.75
2,0,-5.629067,-0.019791,3.517359,11.8846,-37.50858,55.69695,95.16
2,1,-5.737593,1.3017,1.457171,11.08371,-33.86006,41.08512,58.86
